County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Area of Concern Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days__1,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting)__1,Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting)__1,% tests resulted in 3 or fewer days - absolute change__1,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago,% tests resulted in 3 or fewer days - 15-21 days ago,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Native American / Alaskan Native,% Asian,SVI score,CCVI score,Forecasted case trajectory
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,Region 9,4485414,0.9065,0.6162,0.0135,83484,0.0186,0.0253,39775,887,625,13.9,-0.06,0.25,0.024196233,42452,946,499,11.1,407631,6320,SustainedHotspot,0.186,199004,4437,0.98,-0.018,0.09,0.06,0.204,182603,4071,1,0.92,0.007,0.3,0.01,0.196,140502,3132,1,0.91,2358,22,1614,15,0.77,0.33,0.76,0.48,0.64,0.35,-0.03,-0.03,-0.01,0,0,0,0.03,0.03,43,10523.64286,1537.547619,1660.928571,0.976744186,0.953488372,0.976744186,0.976744186,0.110917741,0.147436561,0.155243418,2.76,0.055936643,0.314096982,0.03,0.0463081,0.6354,0.219675,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,Region 6,4713325,0.667,0.1626,0.0142,56479,0.012,0.012,18853,400,110,2.3,0.15,-0.33,0.009341187,16389,348,164,3.5,274899,3691,SustainedHotspot,0.179,103301,2192,0.91,-0.008,-0.15,-0.02,0.187,120926,2566,1,0.93,0.008,0.09,0.06,0.178,111032,2356,1,0.87,1797,16,839,7,0.81,0.23,0.88,0.39,0.45,0.13,-0.01,-0.02,0.02,0.02,0.03,0.05,0,0.01,49,11507.66667,1416.809524,3026.714286,0.979591837,0.959183673,0.979591837,0.979591837,0.201651383,0.162248098,0.109087958,2.88,0.188180531,0.43727496,0.01,0.073282874,0.7236,0.557147,Uncertain
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2635516,0.348,0.0909,0.0079,40184,0.0152,0.0101,15843,601,113,4.3,-0.14,-0.4,0.010522158,18461,700,187,7.1,227622,2333,SustainedHotspot,0.201,67495,2561,0.88,-0.016,0.04,-0.05,0.217,65122,2471,2,0.93,0.012,0.06,0.04,0.204,61176,2321,1,0.89,923,18,561,11,0.88,0.23,0.94,0.43,0.44,0.11,-0.03,-0.51,-0.02,0,0,-0.02,-0.04,-0.02,30,5216.833333,681.6428571,1719.642857,0.966666667,0.933333333,1,0.966666667,0.210484178,0.165861601,0.110838637,2.79,0.226737383,0.407584321,0.01,0.067248691,0.7538,0.600127,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,Region 5,5150233,0.5445,0.4064,0.0155,135244,0.0263,0.01,15766,306,255,5,-0.21,-0.36,0.011314982,19852,385,399,7.7,429270,8939,SustainedHotspot,0.093,154050,2991,0.99,-0.023,0.15,0.03,0.116,134365,2609,0,0.96,0.002,0.08,-0.02,0.114,124097,2410,0,0.98,997,7,1326,9,0.72,0.12,0.68,0.21,0.29,0.06,-0.05,-0.11,0.01,-0.01,-0.01,-0.02,-0.01,-0.01,53,14362.14286,1836,3230.285714,1,0.962264151,1,1,0.095080142,0.151453504,0.150717259,2.61,0.229940471,0.256159867,0.01,0.079057394,0.6755,0.733843,Uncertain
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,Region 6,2102515,0.2776,0.0725,0.0063,36456,0.0173,0.0094,14783,703,84,4,-0.29,-0.67,0.011813133,20726,986,257,12.2,185513,1787,SustainedHotspot,0.237,51310,2440,0.85,-0.029,-0.1,-0.05,0.266,56859,2704,2,0.9,0.016,0.1,0.08,0.25,51823,2465,2,0.82,952,23,885,21,0.88,0.34,0.96,0.58,0.44,0.14,-0.17,0.67,0,-0.02,0,0.05,0,0,26,4186.642857,539.1666667,1373.642857,1,1,1,1,0.163263168,0.129586195,0.116294533,2.86,0.17010057,0.294747005,0.01,0.058096613,0.5475,0.343203,Uncertain
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,2253858,0.1173,0.1159,0.0068,29190,0.013,0.0083,12978,576,160,7.1,0.13,2.64,0.00653809,11471,509,44,2,151581,7782,SustainedHotspot,0.106,153052,6791,0.94,-0.004,0.23,-0.03,0.11,123966,5500,1,0.97,0.006,-0.1,0.02,0.104,137851,6116,1,0.95,637,17,141,4,0.79,0.24,0.61,0.41,0.38,0.13,0,-0.03,0.01,0.02,0,0,-0.02,0,7,3831.285714,365,730.8571429,1,1,1,1,0.105344436,0.129925762,0.163423339,2.91,0.179260628,0.28170985,0.01,0.269030702,0.6201,0.832219,Uncertain
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,2559903,0.1332,0.1316,0.0077,15416,0.006,0.0081,12672,495,134,5.2,0.22,0.17,0.005905997,10362,405,115,4.5,148501,7994,SustainedHotspot,0.081,145390,5680,0.93,-0.007,0.31,-0.04,0.088,110743,4326,1,0.97,0.004,-0.12,0.02,0.084,125382,4898,1,0.95,497,11,162,4,0.69,0.18,0.8,0.37,0.23,0.07,0.09,0,0.02,0.02,0.04,0.07,0,0.01,13,4478.857143,401.7142857,1234,1,0.923076923,1,1,0.082438194,0.211453529,0.143710133,2.69,0.29713079,0.188944269,0.01,0.126641127,0.8153,0.912448,Uncertain
"Suffolk County, NY",36103,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,Region 2,1476601,0.0768,0.0759,0.0044,29422,0.0199,0.0079,12388,839,122,8.3,0.01,0.09,0.006998053,12278,832,112,7.6,122597,2545,SustainedHotspot,0.127,80331,5440,0.89,-0.012,0.22,-0.07,0.139,65955,4467,1,0.96,0.017,-0.07,0.05,0.122,70579,4780,1,0.91,655,21,101,3,0.78,0.29,0.71,0.3,0.27,0.12,0.09,-0.18,0,0.01,-0.01,0.01,0,-0.01,10,3101.857143,431,601.2857143,1,0.9,1,1,0.054026271,0.071186259,0.173331184,2.99,0.074663365,0.202105376,0.01,0.042276146,0.2146,0.282394,Uncertain
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,Region 9,2266715,1,0.7359,0.0068,21541,0.0095,0.0075,11823,522,229,10.1,-0.15,0.26,0.007967567,13979,617,182,8,197652,2795,SustainedHotspot,0.192,72313,3190,0.88,-0.038,0.09,-0.09,0.23,66398,2929,1,0.97,0.009,0.07,0.03,0.221,62242,2746,1,0.94,846,15,623,11,0.83,0.26,0.92,0.53,0.51,0.25,0,0.02,0,-0.01,0.03,0.02,0,0,26,5643.452381,704.2857143,1060.785714,0.961538462,0.923076923,1,0.961538462,0.125284567,0.141797624,0.151169865,2.76,0.11877232,0.316439429,0.01,0.103565292,0.7404,0.633875,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,Region 6,2003554,0.7854,0.0691,0.006,39255,0.0196,0.0073,11468,572,98,4.9,-0.15,-0.07,0.007672324,13461,672,105,5.2,140614,1942,SustainedHotspot,0.191,70045,3496,0.82,-0.035,0.49,-0.07,0.225,46971,2344,2,0.89,0.011,0.07,0.03,0.214,43754,2184,2,0.86,773,13,93,2,0.6,0.16,0.84,0.44,0.48,0.16,-0.24,-0.21,0,-0.01,-0.08,-0.04,-0.02,0.01,18,6043.309524,653.6190476,1207.809524,1,0.944444444,1,1,0.151333203,0.163400384,0.123701682,3,0.07414724,0.606815689,0.01,0.032664954,0.8258,0.373448,Uncertain
